id,publication_PMID,publication_DOI,publication_URL,publications,summary_results,publication_type,days_to_publication_PCD,days_to_publication_CD,days_to_summary_PCD,days_to_summary_CD,days_reg_to_start,days_reg_to_CD,days_reg_to_PCD,days_reg_to_publ,is_CTgov,recruitmentStatus,is_multicentric,phase,main_sponsor,intervention_type,primary_completion_date,completion_date,publication_date,primary_completion_year,enrollment,masking,allocation,start_date,lead_or_facility,lead_cities,facility_cities,center_size
NCT00199004,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-529,1266,1266,NA,yes,Completed,no,Phase 4,Other,Drug,2009-03-01,2009-03-01,NA,2009,60,Open Label,Non-Randomized,2004-04-01,lead,Frankfurt,,large
NCT00199017,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-529,1266,1266,NA,yes,Completed,no,Phase 4,Other,Drug,2009-03-01,2009-03-01,NA,2009,75,Open Label,Non-Randomized,2004-04-01,lead,Frankfurt,,large
NCT00204568,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-408,2940,2940,NA,yes,Unknown status,no,Phase 2,Other,Drug,2013-10-01,2013-10-01,NA,2013,117,Open Label,Randomized,2004-08-01,facility,,Kiel,No lead center
NCT00215683,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,407,376,-231,1503,1472,NA,yes,Completed,yes,Phase 2/Phase 3,Industry,Drug,2009-10-01,2009-11-01,NA,2009,137,Open Label,Non-Randomized,2005-02-01,facility,,Mannheim,No lead center
NCT00223041,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-897,1904,1509,NA,yes,Terminated,no,Phase 2/Phase 3,Other,Drug,2009-11-01,2010-12-01,NA,2009,200,Open Label,Randomized,2003-04-01,lead,Kiel,,small
NCT00237978,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,324,1420,1328,NA,yes,Unknown status,no,Phase 4,Other,Radiation,2009-06-01,2009-09-01,NA,2009,60,Open Label,Randomized,2006-09-01,lead,Dresden,,large
NCT00268138,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,101,1806,1806,NA,yes,Unknown status,yes,Phase 4,Other,Drug,2010-12-01,2010-12-01,NA,2010,314,Double Blind,Randomized,2006-04-01,lead,Berlin,,large
NCT00273624,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-217,1427,1427,NA,yes,Terminated,no,Phase 3,Other,Drug,2009-12-01,2009-12-01,NA,2009,60,Double Blind,Randomized,2005-06-01,lead,Freiburg,,large
NCT00276978,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-224,1390,1390,NA,yes,Terminated,no,Phase 3,Other,Drug,2009-11-01,2009-11-01,NA,2009,20,Open Label,NA,2005-06-01,lead,Freiburg,,large
NCT00278265,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-229,1415,1415,NA,yes,Terminated,yes,Phase 2,Other,Drug,2009-12-01,2009-12-01,NA,2009,12,Open Label,NA,2005-06-01,facility,,Berlin Kiel LMU München Ulm,No lead center
NCT00290667,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-739,3552,2852,NA,yes,Completed,yes,Phase 2,Other,Biological,2013-12-01,2015-11-01,NA,2013,586,Open Label,Randomized,2004-02-01,facility,,Berlin Bochum Bonn Dresden Düsseldorf Erlangen Duisburg Frankfurt Freiburg Giessen Göttingen Greifswald Halle Hamburg Hannover Heidelberg Jena Kiel Köln Leipzig Lübeck Magdeburg Mainz Mannheim Marburg LMU München TU München Münster Regensburg Rostock Homburg Tübingen Ulm Würzburg Witten-Herdecke,No lead center
NCT00298324,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,184,1706,1341,NA,yes,Terminated,yes,Phase 3,Other,Drug,2009-11-01,2010-11-01,NA,2009,34,Double-Blind,Randomized,2006-09-01,facility,,Regensburg,No lead center
NCT00298909,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-1,1187,1187,NA,yes,Completed,no,Phase 4,Other,Behavioral,2009-06-01,2009-06-01,NA,2009,48,Open Label,Randomized,2006-03-01,lead,Leipzig,,large
NCT00319111,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,1208,1149,-115,1071,1012,NA,yes,Completed,yes,Phase 3,Industry,Drug,2009-02-01,2009-04-01,NA,2009,151,Open Label,Non-Randomized,2006-01-01,facility,,Giessen Hannover Mainz,No lead center
NCT00323661,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-7,1758,1638,NA,yes,Completed,yes,Phase 4,Industry,Device,2010-11-01,2011-03-01,NA,2010,405,Single Blind,Randomized,2006-05-01,facility,,Aachen Dresden Duisburg Hannover Heidelberg Jena Lübeck Würzburg,No lead center
NCT00325221,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,82,2335,2061,NA,yes,Completed,yes,Not given,Industry,Device,2012-01-01,2012-10-01,NA,2012,148,Open Label,Randomized,2006-08-01,facility,,Erlangen Würzburg,No lead center
NCT00331721,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-29,1067,1067,NA,yes,Terminated,yes,Phase 2,Industry,Drug,2009-05-01,2009-05-01,NA,2009,24,Double Blind,Randomized,2006-05-01,lead,Heidelberg,,large
NCT00368264,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,9,1013,1013,NA,yes,Terminated,yes,Phase 2/Phase 3,Other,Drug,2009-06-01,2009-06-01,NA,2009,1,Double Blind,Randomized,2006-09-01,lead,Berlin,Düsseldorf Erlangen,large
NCT00390702,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-18,3574,2113,NA,yes,Suspended,yes,Phase 2/Phase 3,Industry,Device,2012-08-01,2016-08-01,NA,2012,338,Open Label,Non-Randomized,2006-10-01,lead,Hamburg,Giessen LMU München,large
NCT00391534,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-22,1105,1105,NA,yes,Terminated,yes,Phase 3,Industry,Drug,2009-11-01,2009-11-01,NA,2009,100,Open Label,Randomized,2006-10-01,lead,Bonn,,large
NCT00405873,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,92,1188,1188,NA,yes,Terminated,yes,Phase 2,Industry,Drug,2010-03-01,2010-03-01,NA,2010,73,Open Label,Non-Randomized,2007-03-01,lead,Freiburg,,large
NCT00409799,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-37,1728,1728,NA,yes,Completed,yes,Phase 2,Industry,Drug,2011-09-01,2011-09-01,NA,2011,208,Open Label,Randomized,2006-11-01,facility,,Berlin Göttingen Hannover Kiel Münster,No lead center
NCT00412451,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,1280,1221,-13,1173,1114,NA,yes,Completed,yes,Phase 2,Industry,Drug,2010-01-01,2010-03-01,NA,2010,51,Double Blind,Randomized,2006-12-01,facility,,LMU München,No lead center
NCT00422201,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,494,494,-42,1906,1906,NA,yes,Terminated,yes,Phase 2,Industry,Drug,2012-04-01,2012-04-01,NA,2012,18,Open Label,NA,2006-12-01,facility,,Würzburg,No lead center
NCT00425425,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-202,3024,1198,NA,yes,Unknown status,yes,Phase 1/Phase 2,Other,Biological,2010-05-01,2015-05-01,NA,2010,43,Open Label,NA,2006-07-01,lead,TU München,Berlin Marburg,large
NCT00433459,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-38,2154,2154,NA,yes,Completed,yes,Phase 3,Other,Drug,2013-01-01,2013-01-01,NA,2013,2134,Open Label,Randomized,2007-01-01,lead,Halle,Giessen Marburg,small
NCT00434616,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,51,1603,1512,NA,yes,Unknown status,no,Phase 2/Phase 3,Other,Procedure,2011-04-01,2011-07-01,NA,2011,90,Double Blind,Randomized,2007-04-01,lead,Berlin,,large
NCT00436098,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-14,1171,990,NA,yes,Unknown status,yes,Not given,Other,Behavioral,2009-11-01,2010-05-01,NA,2009,60,Open Label,Randomized,2007-02-01,lead,TU München,,large
NCT00440310,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,1549,1396,-22,1681,1528,NA,yes,Completed,yes,Phase 3,Industry,Drug,2011-05-01,2011-10-01,NA,2011,483,Open Label,Randomized,2007-02-01,facility,,Frankfurt,No lead center
NCT00445575,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,115,2672,2307,NA,yes,Unknown status,yes,Phase 2/Phase 3,Other,Drug,2013-07-01,2014-07-01,NA,2013,156,Double Blind,Randomized,2007-07-01,facility,,Berlin Heidelberg Köln,No lead center
NCT00447876,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-620,750,660,NA,yes,Completed,yes,Phase 2/Phase 3,Industry,Drug,2009-01-01,2009-04-01,NA,2009,40,Double Blind,Randomized,2005-07-01,facility,,Berlin Giessen Marburg,No lead center
NCT00452192,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-145,981,981,NA,yes,Completed,no,Phase 3,Other,Drug,2009-12-01,2009-12-01,NA,2009,30,Open Label,Non-Randomized,2006-11-01,lead,Erlangen,,large
NCT00457951,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,2369,2308,-5,909,848,NA,yes,Terminated,yes,Phase 2,Industry,Drug,2009-08-01,2009-10-01,NA,2009,158,Double Blind,Randomized,2007-04-01,lead,Hannover,Mainz LMU München,large
NCT00464893,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-22,2170,709,NA,yes,Completed,yes,Phase 2,Industry,Drug,2009-04-01,2013-04-01,NA,2009,70,Open Label,Non-Randomized,2007-04-01,lead,Hamburg,,large
NCT00486226,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,403,38,-12,2363,1998,NA,yes,Completed,no,Phase 4,Industry,Device,2012-12-01,2013-12-01,NA,2012,109,Open Label,NA,2007-06-01,lead,Würzburg,,small
NCT00495859,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,274,1369,1369,NA,yes,Unknown status,no,Not given,Other,Dietary Supplement,2011-04-01,2011-04-01,NA,2011,156,Double Blind,Randomized,2008-04-01,lead,Heidelberg,,large
NCT00496067,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-93,882,882,NA,yes,Terminated,yes,Not given,Industry,Device,2009-12-01,2009-12-01,NA,2009,91,Open Label,Non-Randomized,2007-04-01,facility,,Erlangen Tübingen,No lead center
NCT00507494,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-24,769,769,NA,yes,Completed,no,Phase 3,Other,Drug,2009-09-01,2009-09-01,NA,2009,NA,Double-Blind,Randomized,2007-07-01,lead,Dresden,,large
NCT00510588,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-31,2253,2253,NA,yes,Completed,no,Not given,Other,Other,2013-10-01,2013-10-01,NA,2013,120,Open Label,Randomized,2007-07-01,lead,Leipzig,,large
NCT00510705,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-31,1796,1796,NA,yes,Terminated,no,Not given,Other,Other,2012-07-01,2012-07-01,NA,2012,29,Open Label,Randomized,2007-07-01,lead,Leipzig,,large
NCT00510822,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,61,915,915,NA,yes,Completed,yes,Phase 2,Industry,Drug,2010-02-01,2010-02-01,NA,2010,169,Double Blind,Randomized,2007-10-01,facility,,Berlin Bochum Bonn Dresden Göttingen Greifswald Jena Köln Magdeburg Mainz Mannheim LMU München Münster,No lead center
NCT00511160,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-1,1095,1095,NA,yes,Terminated,no,Not given,Other,Procedure,2010-08-01,2010-08-01,NA,2010,120,Single Blind,Randomized,2007-08-01,lead,Tübingen,,large
NCT00511277,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-1,1338,1156,NA,yes,Completed,no,Phase 4,Other,Drug,2010-10-01,2011-04-01,NA,2010,60,Open Label,Non-Randomized,2007-08-01,lead,Berlin Bochum Göttingen,,large
NCT00512980,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,360,2278,2278,NA,yes,Terminated,no,Phase 2,Other,Drug,2013-11-01,2013-11-01,NA,2013,NA,Single Blind,Randomized,2008-08-01,lead,Köln,,large
NCT00514423,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-342,1575,1575,NA,yes,Completed,no,Not given,Other,Other,2011-12-01,2011-12-01,NA,2011,896,Open Label,Randomized,2006-09-01,lead,TU München,,large
NCT00525668,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-3,1885,1885,NA,yes,Completed,yes,Phase 1/Phase 2,Other,Drug,2012-11-01,2012-11-01,NA,2012,120,"Participant, Care Provider, Investigator, Outcomes Assessor",Randomized,2007-09-01,lead,Berlin,,large
NCT00535847,NA,10.1016/S0168-8278(08)61002-8,http://www.journal-of-hepatology.eu/article/S0168-8278(08)61002-8/fulltext,FALSE,TRUE,Abstract only,NA,NA,506,506,6,860,860,NA,yes,Completed,yes,Phase 2,Industry,Drug,2010-02-01,2010-02-01,NA,2010,117,Open Label,Non-Randomized,2007-10-01,facility,,Bonn Düsseldorf Köln,No lead center
NCT00540631,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-4,1518,1031,NA,yes,Completed,no,Phase 3,Industry,Biological,2010-08-01,2011-12-01,NA,2010,108,Double Blind,Randomized,2007-10-01,lead,Ulm,,large
NCT00542828,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,341,280,-9,630,569,NA,yes,Terminated,yes,Phase 2,Industry,Biological,2009-05-01,2009-07-01,NA,2009,16,Open Label,Non-Randomized,2007-10-01,facility,,Hannover,No lead center
NCT00544583,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,17,1630,1264,NA,yes,Unknown status,no,Phase 2/Phase 3,Other,Procedure,2011-04-01,2012-04-01,NA,2011,80,Double Blind,Randomized,2007-11-01,lead,Heidelberg,,large
NCT00545441,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,571,571,229,1994,1994,NA,yes,Completed,yes,Not given,Industry,Device,2013-04-01,2013-04-01,NA,2013,86,Open Label,Randomized,2008-06-01,lead,Giessen,,small
NCT00546845,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-46,2419,1597,NA,yes,Unknown status,no,Phase 4,Other,Device,2012-03-01,2014-06-01,NA,2012,180,Single Blind,Randomized,2007-09-01,lead,Tübingen,,large
NCT00546975,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-17,684,684,NA,yes,Terminated,no,Not given,Other,Dietary Supplement,2009-09-01,2009-09-01,NA,2009,NA,Double Blind,Randomized,2007-10-01,lead,Berlin,,large
NCT00558662,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-12,1388,505,NA,yes,Completed,yes,Not given,Industry,Device,2009-04-01,2011-09-01,NA,2009,234,Single Blind,Randomized,2007-11-01,lead,Bochum Bonn Duisburg,,large
NCT00559286,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,16,413,413,NA,yes,Terminated,no,Phase 4,Other,Drug,2009-01-01,2009-01-01,NA,2009,40,Double Blind,Randomized,2007-12-01,lead,Aachen,Heidelberg,small
NCT00560768,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,12,1778,1717,NA,yes,Completed,yes,Phase 4,Industry,Device,2012-08-01,2012-10-01,NA,2012,198,Open Label,Non-Randomized,2007-12-01,facility,,Bochum Bonn Mainz Würzburg,No lead center
NCT00561587,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-19,804,620,NA,yes,Completed,no,Phase 2,Other,Drug,2009-08-01,2010-02-01,NA,2009,40,Double Blind,Randomized,2007-11-01,lead,Heidelberg Mannheim Tübingen,Göttingen,large
NCT00564993,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-27,1616,1250,NA,yes,Terminated,yes,Phase 3,Other,Drug,2011-05-01,2012-05-01,NA,2011,53,Open Label,Non-Randomized,2007-11-01,facility,,Freiburg Hannover Kiel Leipzig TU München Münster Homburg Tübingen,No lead center
NCT00569257,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-5,1303,1303,NA,yes,Completed,yes,Phase 2,Industry,Drug,2011-07-01,2011-07-01,NA,2011,85,Open Label,NA,2007-12-01,lead,Göttingen,Berlin Dresden Erlangen Duisburg Frankfurt Greifswald Hannover Kiel Rostock,small
NCT00570713,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,737,737,-6,725,725,NA,yes,Completed,yes,Phase 2,Industry,Drug,2009-12-01,2009-12-01,NA,2009,155,Double Blind,Randomized,2007-12-01,facility,,Berlin Freiburg Hannover Heidelberg Ulm,No lead center
NCT00571753,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,173,1513,1451,NA,yes,Terminated,yes,Phase 3,Other,Drug,2011-12-01,2012-02-01,NA,2011,900,Double Blind,Randomized,2008-06-01,lead,Köln,Frankfurt Heidelberg,large
NCT00574613,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-103,993,689,NA,yes,Completed,yes,Phase 2,Industry,Drug,2009-11-01,2010-09-01,NA,2009,56,Double Blind,Randomized,2007-09-01,facility,,Berlin Frankfurt Köln,No lead center
NCT00578097,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,45,714,531,NA,yes,Terminated,yes,Phase 2,Industry,Drug,2009-06-01,2009-12-01,NA,2009,81,Double Blind,Randomized,2008-02-01,facility,,Aachen,No lead center
NCT00586794,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-20,1624,1593,NA,yes,Terminated,yes,Phase 3,Other,Drug,2012-05-01,2012-06-01,NA,2012,24,Double Blind,Randomized,2007-12-01,lead,LMU München TU München,Berlin Erlangen Freiburg Giessen Halle Hannover Heidelberg Kiel Münster Homburg Tübingen,large
NCT00596986,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,267,602,602,NA,yes,Unknown status,no,Not given,Other,Drug,2009-09-01,2009-09-01,NA,2009,30,Open Label,Randomized,2008-10-01,lead,Berlin,,large
NCT00599495,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-1897,690,568,NA,yes,Completed,no,Phase 2,Other,Procedure,2009-08-01,2009-12-01,NA,2009,50,Open Label,NA,2002-11-01,lead,Hamburg,,large
NCT00605683,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-48,1534,1474,NA,yes,Completed,yes,Phase 3,Industry,Drug,2012-01-01,2012-03-01,NA,2012,679,Double Blind,Randomized,2007-11-01,facility,,Berlin Tübingen Ulm,No lead center
NCT00612898,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,2,702,702,NA,yes,Terminated,yes,Phase 2/Phase 3,Industry,Drug,2010-01-01,2010-01-01,NA,2010,239,Double Blind,Randomized,2008-02-01,facility,,Berlin Bochum Bonn Duisburg Frankfurt LMU München,No lead center
NCT00613496,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,456,821,821,NA,yes,Unknown status,no,Phase 4,Other,Drug,2010-05-01,2010-05-01,NA,2010,60,Double Blind,Randomized,2009-05-01,lead,Magdeburg,,small
NCT00613860,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-30,1400,1400,NA,yes,Unknown status,yes,Phase 3,Other,Device,2011-12-01,2011-12-01,NA,2011,30,Open Label,NA,2008-01-01,lead,Heidelberg,Berlin,large
NCT00617578,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-97,1607,1607,NA,yes,Completed,yes,Phase 4,Industry,Device,2012-07-01,2012-07-01,NA,2012,194,Open Label,Randomized,2007-11-01,lead,Bonn,,large
NCT00621114,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-183,517,517,NA,yes,Completed,no,Not given,Industry,Device,2009-07-01,2009-07-01,NA,2009,69,Open Label,Randomized,2007-08-01,lead,Tübingen,,large
NCT00623415,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-76,1721,1721,NA,yes,Terminated,yes,Phase 2,Other,Drug,2012-11-01,2012-11-01,NA,2012,30,Double Blind,Randomized,2007-12-01,lead,Berlin,Göttingen Ulm,large
NCT00623584,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,1143,1692,1509,NA,yes,Unknown status,yes,Not given,Other,Procedure,2012-04-01,2012-10-01,NA,2012,60,Open Label,Randomized,2011-04-01,facility,,Halle,No lead center
NCT00625222,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-163,841,841,NA,yes,Unknown status,no,Not given,Other,Procedure,2010-06-01,2010-06-01,NA,2010,70,Open Label,NA,2007-09-01,lead,Lübeck,Bonn Erlangen,small
NCT00628797,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-25,979,856,NA,yes,Unknown status,yes,Phase 1/Phase 2,Other,Radiation,2010-07-01,2010-11-01,NA,2010,60,Open Label,Randomized,2008-02-01,lead,Köln,Tübingen,large
NCT00629135,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-846,1619,1437,NA,yes,Unknown status,no,Phase 3,Other,Drug,2012-02-01,2012-08-01,NA,2012,180,Open Label,Randomized,2005-11-01,lead,Hannover,,large
NCT00631475,NA,NA,NA,FALSE,TRUE,No publ,NA,NA,810,780,49,809,779,NA,yes,Completed,yes,Phase 3,Industry,Drug,2010-04-01,2010-05-01,NA,2010,128,Open Label,Non-Randomized,2008-04-01,facility,,Giessen Göttingen LMU München,No lead center
NCT00633698,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-64,726,636,NA,yes,Unknown status,no,Phase 3,Other,Drug,2009-12-01,2010-03-01,NA,2009,150,Double Blind,Randomized,2008-01-01,lead,Berlin,,large
NCT00637104,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,113,1178,996,NA,yes,Unknown status,yes,Phase 2/Phase 3,Industry,Device,2010-12-01,2011-06-01,NA,2010,160,Single Blind,Randomized,2008-07-01,facility,,Freiburg,No lead center
NCT00637442,NA,NA,NA,FALSE,FALSE,No publ,NA,NA,NA,NA,-14,1020,1020,NA,yes,Unknown status,no,Not given,Other,Drug,2010-12-01,2010-12-01,NA,2010,30,Open Label,NA,2008-02-01,lead,Bonn,,large
