number_new,number,ID,cities_lead,Publication identified in which step,manual_validation_cities_lead,publication_DOI,publication_URL,article_yes_no,publication_date,unsure_about_publ_yes_no,reason,other_comments,rater,title,firstDrksPublishDate,startDate,startDate_plannedActual,studyEnd,intervention.category0,intervention.value0,intervention.category1,intervention.value1,intervention.category2,intervention.value2,address.type0,address.affiliation0,address.firstname0,address.lastname0,address.type1,address.affiliation1,address.firstname1,address.lastname1,targetSize,recruitmentStatus,investorInitiated,monoMultiCentric,publication.category0,publication.type0,publication.value0,publication.category1,publication.type1,publication.value1,publication.category2,publication.type2,publication.value2,publication.category3,publication.type3,publication.value3,publication.category4,publication.type4,publication.value4
433,286,DRKS00004450,Köln,9,none,,,,,,,"kein UMC, Sporthochschule",SW,"Effects of a targeted, individualized sports therapy program for childhood cancer patients on motor Performance<br/><br/>Publication: Beulertz J, Prokop A, Rustler V, Bloch W, Felsch M, Baumann FT. Effects of a 6-Month, Group-Based, Therapeutic Exercise Program for Childhood Cancer Outpatients on Motor Performance, Level of Activity, and Quality of Life. Pediatric Blood and Cancer. 2016;63(1):127-132. ",2012-10-09,2012/07/18,Actual,2015/03/31,Arm 1,"6-month sports therapy program for childhood cancer patients after inpatient medical treatment (once a week, 60 minutes)",Arm 2,childhood cancer patients; no intervention,Arm 3,healthy children; no intervention,Primary Sponsor,"Deutsche Sporthochschule Köln, Institut für Kreislaufforschung und Sportmedizin, Abteilung Molekulare und Zelluläre Sportmedizin",Freerk,Baumann,Contact for Scientific Queries,"Deutsche Sporthochschule Köln, Institut für Kreislaufforschung und Sportmedizin, Abteilung Molekulare und Zelluläre Sportmedizin",Freerk,Baumann,69,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Beulertz J, Prokop A, Rustler V, Bloch W, Felsch M, Baumann FT. Effects of a 6-Month, Group-Based, Therapeutic Exercise Program for Childhood Cancer Outpatients on Motor Performance, Level of Activity, and Quality of Life. Pediatric Blood and Cancer. 2016;63(1):127-132. ",,,,,,,,,,,,
434,287,DRKS00004735,Köln,9,none,,,,,,,"kein UMC, Sporthochschule",SW,Integrability of a computer-based exercise program in the Pediatric Oncology and effects on fatigue syndrome and quality of life in pediatric oncology patients.<br/>PAPO - „Physical Activity in the Pediatric Oncology“,2013-02-13,2013/07/15,Actual,2015/02/28,Arm 1,"Computer-based exercise program for pediatric oncology patients while stationary and outpatient hospital stay during three month. Exercise program takes place once a week, duration and intensity is determined depending on day form. Guidance for the intervention duration is 30 minutes. ",,,,,Primary Sponsor,"Deutsche Sporthochschule Köln, Institut für Bewegungs- und Neurowissenschaft",[---]*,[---]*,Contact for Scientific Queries,"Deutsche Sporthochschule Köln, Institut für Bewegungs- und Neurowissenschaft",Anna-Maria,Platschek,12,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,[---]*,,,,,,,,,,,,
441,300,DRKS00008578,Köln,9,none,,,,,,,"kein UMC, Sporthochschule",SW,Feasibility and effects of Whole-body vibration training in pediatric cancer patients undergoing chemotherapy,2015-06-03,2015/09/11,Actual,2017/12/01,Arm 1,"Intervention group includes pediatric cancer patients (4-17 years) under chemotherapy that receive standard care and Whole-body vibration training. Standard care includes the daily offer of physiotherapy and the offer of sports therapy twice a week. Whole-body vibration training is applied 2-3x/week for 9-14 minutes (Vibration Frequency 18-30 Hz, amplitude 2 mm).",,,,,Primary Sponsor,"Deutsche Sporthochschule Köln, Insstitut für Kreislaufforschung und Sportmedizin, Abteilung molekulare und zelluläreSportmedizin",Freerk,Baumann,Contact for Scientific Queries,"Deutsche Sporthochschule Köln, Institut für Kreislaufforschung und Sportmedizin, Abteilung molekulare und zelluläre Sportmedizin",Freerk T.,Baumann,15,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
6,325,DRKS00006178,Leipzig,0,Leipzig,,,,,,,,SW,Wound Management in Post-Bariatric Surgery<br/>Investigation for the reduction of the mean drainage volume in patients after abdominoplasty / lower body lift using Artiss Fibrin Sealant in comparison to the standard procedure,2014-05-20,2014/08/08,Actual,2017/03/03,Arm 1,abdominoplasty / lower body lift using Artiss Fibrin Sealant,Arm 2,Standard abdominoplasty / lower body lift ,,,Primary Sponsor,Universität Leipzig,[---]*,[---]*,Contact for Scientific Queries,"Universitätsklinikum Leipzig AöRDepartment für operative Medizin (DOPM)Abteilung für Plastische, Ästhetische und spezielle Handchirurgie",Stefan,Langer,50,Recruiting stopped after recruiting started ,yes,Monocenter trial,,,,,,,,,,,,,,,
113,337,DRKS00003527,Magdeburg,1,Magdeburg,,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00003527,no,26.02.2018,no,,,SW,"Ketamine in treatment resistant major depression (TRD) -<br/>A placebo controlled, double blind, randomized trial of efficacy, safety and response prediction by resting state fMRI<br/>",2012-03-07,2012/09/10,Actual,2016/04/22,Arm 1,"Patients in the verum group will receive a single intravenous ketamine hydrochloride injection (0.5mg/kg body weight, 50 ml over 40 minutes). <br/>diagnostic intervention: Resting state fMRI and MRS before and after administration will be assessed on a 7T MR scanner.",Arm 2,"healthy control subjects in the verum group will receive a single intravenous ketamine hydrochloride injection (0.5mg/kg body weight, 50 ml over 40 minutes). <br/>diagnostic intervention: Resting state fMRI and MRS before and after administration will be assessed on a 7T MR scanner.",Arm 3,Control treatment: patients allocated to the control group will receive placebo injections of 0.9 % saline (50 ml over 40 minutes) in the same fashion as the verum group,Primary Sponsor,Otto-von-Guericke University Magdeburg<br/>Medical Faculty,Hermann-Josef,Rothkötter,Contact for Scientific Queries,Clinic for Psychiatry and Psychotherapy<br/>Central Hospital Magdeburg,Martin,Walter,120,"Recruiting complete, follow-up complete",yes,Monocenter trial,Trial results,KETREST_Zusammenfassung_Abschlussbericht_20180226_final.pdf,Ketrest_Abschlussbericht_clinical trial report,,,,,,,,,,,,
258,339,DRKS00005683,Magdeburg,2,Magdeburg,10.1016/j.ebiom.2020.102712,https://www.sciencedirect.com/science/article/pii/S2352396420300876,yes,01.04.2020,no,,,SW,"""Smart insole for patients with diabetic neuropathy for the prevention of foot ulcers""",2014-01-27,2014/02/03,Actual,2016/05/26,Arm 1,"30 patients with sensorimotor neuropathy:<br/>Alternating between standing (pressure load for 5, 10 and 20 min) and in between a relief when sitting (5 min each), duplication",Arm 2,"30 healthy subjects without sensory-motor neuropathy:<br/>Alternating between standing (pressure load for 5, 10 and 20 min) and in between a relief when sitting (5 min each), duplication",,,Primary Sponsor,"Otto-von-Guericke Universität, Medizinsiche Fakultät",Hermann-Josef,Rothkötter,Contact for Scientific Queries,"Universitätsklinik für Nieren- und Hochdruckkrankheiten, Diabetologie und Endokrinologie",Peter R.,Mertens,60,"Recruiting complete, follow-up complete",yes,Monocenter trial,Trial results,Abschlussbericht_final_120617_komneu.pdf,Abschlussbericht,,,,,,,,,,,,
22,378,DRKS00004944,Munich,0,LMU,,,,,,,,NR,ALS-rules,2013-05-02,2013/11/08,Actual,2014/03/31,Arm 1,Group without intervention – conventional training for medical students with a cardiac arrest scenario in an OSCE  (Objective Structured Clinical Examinations),Arm 2,Group with intervention (ALS-rules) - conventional training for medical students with additional concise abstract using keywords in the educational script and finally a cardiac arrest scenario in an OSCE,Arm 3,Group with intervention (ALS-rules) - conventional training for medical students with additional charts in the educational script and finally a cardiac arrest scenario in an OSCE,Primary Sponsor,"Institut für Notfallmedizin und Medizinmanagement (INM), Klinikum der universität München",[---]*,[---]*,Contact for Scientific Queries,Klinikum der Universität München<br/>Institut für Notfallmedizin und Medizinmanagement<br/>Bereich Medizin,Oliver,Meyer,231,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,[---]*,,,,,,,,,,,,
376,384,DRKS00006093,Munich,2,LMU,,https://edoc.ub.uni-muenchen.de/26157/1/Schuetz_Swetlana.pdf,no,19.05.2020,yes,,Dissertation; publication date unclear,NR,Direct vs indirect Feedback during CPR Training,2014-04-28,2014/05/02,Actual,2014/07/25,Arm 1,Group with direct feedback – students see the manikin screen in real time,Arm 2,Group with indirect feedback – only the audience sees the manikin screen but give feedback on to the student in real time,,,Primary Sponsor,"Institut für Notfallmedizin und Medizinmanagement (INM), Klinikum der universität München",[---]*,[---]*,Contact for Scientific Queries,"Institut für Notfallmedizin und Medizinmanagement (INM), Klinikum der Universität München",Oliver,Meyer,240,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,[---]*,,,,,,,,,,,,
378,386,DRKS00006211,Munich,2,TU,10.1093/jn/nxx020 ,,yes,25.01.2018,yes,there was a dissertation on the trial that was published earlier (https://mediatum.ub.tum.de/1352971) not sure if we should prefer this one if there is a journal article,,NR,Impact of diet-induced obesity on gut barrier integrity and metabolic diseases in healthy subjects,2014-06-11,2013/04/30,Actual,2014/08/15,Arm 1,"24 healthy male subjects (BMI less or equal 25 kg/m²) receive an individually adapted diet for seven days with an excess of 1000kcal/day in addition to their individual total energy requirement. The macronutrient composition consists of 48 EN% fat (predominantly saturated fatty acids), 34 EN% carbohydrates and 18 EN% protein. Gut permeability, changes in gut microbiota, insulin sensitivity, peripheral immune cell sub-populations, blood pressure, pulse, metabolic rate, body composition, weight, blood parameters (fasting glucose, fasting insulin, liver function, kidney function, electrolyte, lipid profile, DNA, inflammation marker) will be measured before, after and 2 weeks after intervention.",,,,,Primary Sponsor,Bundesministerium für Bildung und Forschung Dienstsitz Berlin,[---]*,[---]*,Contact for Scientific Queries,Else Kröner-Fresenius-Zentrum für ErnährungsmedizinLehrstuhl für ErnährungsmedizinTechnische Universität München,Hans,Hauner,24,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
379,392,DRKS00009733,Munich,8,LMU,,https://n.neurology.org/content/86/16_Supplement/P2.351.short,no,04.04.2016,yes,only seems to be abstract; has not even a DOI,,NR,"Effects of Acetyl-DL-Leucine on cerebellar ataxia - a multinational, multicenter, randomized, double-blind, placebo-controlled, 2-way crossover phase III trial",2016-01-15,2016/01/25,Actual,2017/07/07,Arm 1,"Treatment with Acetyl-DL-Leucine (5 g daily) over a period of 4 weeks after a titration of dosage over a period of 2 weeks, complete duration of treatment 6 weeks. <br/>",Arm 2,Treatment with placebo over a period of 6 weeks,,,Primary Sponsor,"Klinikum der Universität München, Campus Großhadern",[---]*,[---]*,Contact for Scientific Queries,"Deutsches Zentrum für Schwindel- und Gleichgewichtsstörungen und Neurologische Klinik und Poliklinik, Campus Großhadern",Katharina,Feil,108,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
386,414,DRKS00013485,Rostock,3,Rostock,10.1111/1751-2980.12591,https://onlinelibrary.wiley.com/doi/full/10.1111/1751-2980.12591,yes,23.03.2018,no,,,MH,Influence of vitamin D administration on the intestinal bacterial composition in CD patients and healthy controls,2017-12-04,2016/11/15,Actual,2017/05/05,Arm 1,"Crohn's disease:<br/>The intervention was carried out by means of decristol 20,000 IU, every two days up to a target level between 100 and 150 nmol/l. At higher values, vitamin D substitution was suspended. The duration of the substitution was 4 weeks. ",Arm 2,"Healthy Controls:<br/>The intervention was carried out by means of decristol 20,000 IU, every two days up to a target level between 100 and 150 nmol/l. At higher values, vitamin D substitution was suspended. <br/>The duration of the substitution was 4 weeks. ",,,Primary Sponsor,Universitätsklinikum Rostock,Holger,Schäffler,Contact for Scientific Queries,Universitätsklinikum Rostock,Holger,Schäffler,17,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
149,442,DRKS00003979,Ulm,1,Ulm,10.1016/j.chiabu.2017.03.008,https://www.sciencedirect.com/science/article/pii/S014521341730100X,yes,31.03.2017,no,,,MH,Implementation and Evaluation of a Needs- and Community-Based Managed Mental Healthcare for Children and Adolescents after Abuse and Neglect - Case-Management Intervention Study,2012-07-03,2012/10/29,Actual,2017/05/04,Arm 1,"Case-Management: Allocation to a Case-Manager who is trained in acting as a broker and placing the underage CAN-child in appropriate therapy programs, to accompany the therapy process, to assist the child and its family in terms of upcoming adherence difficulties and to monitor therapy outcome.",Arm 2,Usual Care ,,,Primary Sponsor,Universitätsklinikum Ulm<br/>Klinik für Kinder- und Jugendpsychiatrie/Psychotherapie<br/><br/><br/>,Lutz,Goldbeck,Contact for Scientific Queries,Universitätsklinikum Ulm Klinik für Kinder- und Jugendpsychiatrie/Psychotherapie,Lutz,Goldbeck,152,"Recruiting complete, follow-up complete",yes,Multicenter trial,Paper,http://www.sciencedirect.com/science/article/pii/S014521341730100X,"Publikation im Journal of Child Abuse and Neglect: Effectiveness of manualized case management on utilization of evidence-based treatments for children and adolescents after maltreatment: A randomized controlled trial  von Helene Gertrud Ganser, Annika Münzer, Andreas Witt, Paul Lukas Plener, Rainer Muche, Rita Rosner, Maria Hagl, Lutz Goldbeck",Paper,https://www.ncbi.nlm.nih.gov/pubmed/25832576,"Publikation in der Fachzeitschrift Praxis der Kinderpsychologie und Kinderpsychiatrie: Verbesserter Zugang zu evidenzbasierten Therapien für psychisch kranke Kinder und Jugendliche nach Kindesmisshandlung und -missbrauch von Helene G. Ganser, Annika Münzer, Diana C. M. Seitz, Andreas Witt und Lutz Goldbeck",,,,,,,,,
151,452,DRKS00012927,Ulm,1,Ulm,,https://ijcd.quintessenz.de/index.php?doc=abstract&abstractID=40712,yes,21.06.2018,no,,worst journal website ever (predatory?) - I did not even find a doi!,MH,Template-guided implantation of one-piece ceramic implants.<br/>A prospective clinical pilot study.<br/>,2017-09-07,2017/09/18,Actual,2017/12/18,Arm 1,"Template-guided implantation of one-piece full-ceramic implants with a new, sleeveless drilling template.<br/>",,,,,Primary Sponsor,"Universitätsklinikum Ulm/Studienleiter: Prof. Dr. Ralph G. Luthardt, Klinik für Zahnärztliche Prothetik",[---]*,[---]*,Contact for Scientific Queries,"Private Praxis und Universitätsklinikum Ulm, Klinik für Zahnärztliche Prothetik",Sigmar,Schnutenhaus,12,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Precision of sleevless 3D drill guides for insertion of one-piece ceramic implants: a prospective clinical trial. S. Schnutenhaus, V. von Koenigsmarck, S. Blender, L. Ambrosius, R.G. Luthardt, H. Rudplph (2018), International Journal of Computerized Dentistry: 97-105",,,,,,,,,,,,
