number_new,number,drksId,pruefer,cities_lead,cities_lead_corrected,manual_validation_cities_lead,Publication identified in which step,publication_DOI,publication_URL,article_yes_no,publication_date,unsure_about_publ_yes_no,reason,other_comments,title,firstDrksPublishDate,startDate,startDate_plannedActual,studyEnd,intervention.category0,intervention.value0,intervention.category1,intervention.value1,intervention.category2,intervention.value2,address.type0,address.affiliation0,address.firstname0,address.lastname0,address.type1,address.affiliation1,address.firstname1,address.lastname1,targetSize,recruitmentStatus,investorInitiated,monoMultiCentric,publication.category0,publication.type0,publication.value0,publication.category1,publication.type1,publication.value1,publication.category2,publication.type2,publication.value2,publication.category3,publication.type3,publication.value3,publication.category4,publication.type4,publication.value4
62,11,DRKS00010912,HK,Bochum,Bochum,Bochum,0,,,no,,no,,,Prospective Evaluation of the rotational stability of the Ancoris intraocular lens.,2016-08-01,2014/08/21,Actual,2015/01/06,Arm 1,Standard cataract surgery with Implantation of the Toric Intraocular Lens Ancoris into one eye.,,,,,Primary Sponsor,PhysIOL SALiège Science Park,Laure,Gobin,Contact for Scientific Queries,Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH Augenklinik,H. Burkhard,Dick,20,"Recruiting complete, follow-up complete",no,Monocenter trial,,,,,,,,,,,,,,,
456,12,DRKS00011262,HK,Bochum,none,"Hochschule für Gesundheit, Bochum",9,,,,,,,,Feasibility and effectiveness of an augmented prescribed exercise programme (APEP) on mobility in older medical patients in the acute setting - a randomised pilot study,2016-10-27,2016/10/31,Actual,2017/12/19,Arm 1,"Participants of the intervention group receive usual care plus APEP (augmented prescribed exercise programme) until clinic discharge, for a maximum period of 3 weeks.<br/><br/>Usual care consists of multidisciplinary and multimodal “geriatric complex supply” („Geriatrische Frührehabilitative Komplexbehandlung “). This includes:<br/><br/>• Treatment by a geriatric team with treatment management by a medical specialist<br/>• Standardised geriatric assessment<br/>• Social assessment<br/>• Weekly team meeting<br/>• Activating-therapeutic care<br/>• Team integrated deployment of at least 2 of the following 4 therapeutic areas: Phyiotherapy/Physical therapy, occupational therapy, speech therapy/fazio-oral therapy, psychology/neuropsychology. It usually contains daily 30 minutes physiotherapy and 1-2 additional therapies on demand.<br/><br/>APEP is offered as single therapy 4-5 times a week for 20-30 minutes and includes individual physiotherapy based on the abilities and deficits of each participant. The treating physiotherapists decide on the respective design of the intervention depending on initial assessment and the results of the physiotherapeutic anamnesis. The number, duration and contents of each session are documented, to enable reporting in agreement with “Consensus on Exercise Reporting Template (CERT)“ (Slade 2016). ",Arm 2,"Participants of the control group receive usual care as described above (Arm 1, ""intervention group""), but no additional physiotherapy (APEP). ",,,Primary Sponsor,"Hochschule für Gesundheit, Bochum",Christian,Thiel,Contact for Scientific Queries,"Hochschule für Gesundheit, Bochum",Tobias,Braun,30,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
63,13,DRKS00011570,HK,Bochum,Bochum,Bochum,0,,,no,,no,,,The impact of hydrocortisone on inhibitory learning in specific phobia,2017-01-25,2015/04/23,Actual,2016/08/11,Arm 1,20 mg hydrocortisone (2 tablets / 10 mg) after exposure,Arm 2,placebo (2 tablets) after exposure,,,Primary Sponsor,"Ruhr-Universität Bochum,Klinische Psychologie und Psychotherapie",Jürgen,Margraf,Contact for Scientific Queries,"Ruhr-Universität Bochum,Klinische Psychologie und Psychotherapie",Armin,Zlomuzica,60,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
305,14,DRKS00011600,HK,Bochum,Bochum,Bochum,2,10.1016/j.jcrs.2017.04.038,https://www.sciencedirect.com/science/article/abs/pii/S0886335017304479,yes,01.07.2017,no,,,Evaluation of Clinical Acceptability of the IC-8 Intraocular Lens,2017-01-25,2015/03/03,Actual,2016/11/10,Arm 1,"Appropriate patients are included in the study after signing the patient consent form. A total of 10 study visits will be necessary:<br/><br/>Preoperative examination of both eyes, first eye surgery (monofocale intraocular lens), examination 1 day after surgery first eye, examination 1 week after surgery first eye, second eye surgery (study lens IC-8, Acufocus), examination 1 day after surgery second eye, examination 1 week after surgery second eye, examination 1 month after surgery second eye,<br/>Examination 3 months after surgery second eye, examination 6 months after surgery second eye<br/><br/><br/>The following examinations are carried out on the preoperative visit:: ocular health and history;visual acuities; manifest refraction; pupil size (mesopic, photopic, and dilated); keratometry; biomicroscopic slit-lamp findings; visual symptoms; biometry (e.g., axial length, ACD, lens thickness, white to white, and IOL power calculation); ocular dominance;  applanation intraocular pressure; dilated fundus exam; potential acuity assessment; subjective questionnaire.<br/>Postoperative visits will assess visual outcomes including: visual acuities; manifest refraction; defocus curves; keratometry; applanation intraocular pressure; slit-lamp findings; visual symptoms; dilated fundus exam; AcuTarget (subgroup only); mesoptometer (subgroup only); visual field test (subgroup only),<br/>subjective questionnaires, and an investigator survey. All examinations with the exception of the AcuTarget measurement and the subjective patient questionnaire, are considered routine, non-invasive assessments after cataract surgery.<br/>",,,,,Primary Sponsor,AcuFocus Inc.,Michael,Bonilla,Contact for Scientific Queries,Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH Augenklinik,H. Burkhard,Dick,130,"Recruiting complete, follow-up complete",no,Multicenter trial,,,,,,,,,,,,,,,
64,15,DRKS00011936,HK,Bochum,Bochum,Bochum,0,,,no,,no,,,Ultrasound based diagnostic of juvenile forearme fractures,2017-04-24,2012/11/01,Actual,2014/11/20,Arm 1,"Patients with or withoud fracture (radius or ulna or combined)<br/><br/>After taking the history and informed consent a ultrasound examination from 6 standard position sis performed. If the results reveal the indication for operative treatment, an x-ray is taken and the patient drops out the study. If there is an indication for reduction but not osteosynthesis, the patient remains in the study if the stability allows ultrasound examination without a cast, otherwise the patient drops out.<br/>For all patients remaining in the study the clinical variables are noted.<br/><br/>- if the US imaging reveals a fracture, a cast is applied<br/>- if the US revelas no fracture and at least one variable is positive, a suspect of a fracture is diagnosed and a cast applied<br/>- if the US reveals no fracture and no varaible is positive, a functional treatment is indicated<br/><br/>All patients are re-evaluated after 5 days and the clinical variables are noted. For all patients without a proved fractures diagnosis and no positive variables a functional treatment is indicated at this time. If there is at least one positive clinical variable, x-rays in 2 directions are taken and the result is noted.<br/><br/>All patients are reevaluated after 3 months by phone contact or physical examination.",,,,,Primary Sponsor,Ruhr Universutät Bochum,Ole,Ackermann,Contact for Scientific Queries,Ruhr Universutät Bochum,Ole,Ackermann,498,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
65,16,DRKS00007685,HK,Bochum Duisburg,Bochum,Bochum,0,,,no,,no,,,Promoting academic resilience in preterm infants with adaptive computerized training - a multi-center randomised controlled trial,2015-01-13,2015/04/27,Actual,2017/12/20,Arm 1,"Adaptive mathematical training (intervention), daily (10-15 min) for 5 weeks.",Arm 2,"Cogmed adaptive working memory training (active control group), daily (25-30 min) for 5 weeks.",,,Primary Sponsor,"Ruhr-Universität Bochum, Fakultät für Psychologie, Arbeitseinheit Entwicklungspsychologie",Julia,Jäkel,Contact for Scientific Queries,"Universitätsklinikum Essen, Oberärztin und Prüfärztin der Klinik für Kinderheilkunde I, Neonatologie",Britta,Hüning,80,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
423,17,DRKS00011500,HK,Bochum Köln,Bochum,Bochum,3,10.3390/nu12030688,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7146607/,yes,01.03.2020,no,,,The influence of an alkalizing or acidizing diet on anaerobic performance under normobaric hypoxic conditions,2016-12-23,2016/11/10,Actual,2016/12/03,Arm 1,The subjects perform two 60-seconds sprint-tests within two weeks under normoxic conditions. In a crossover design subjects perform sprinting either after three days of alkalizing diet or three days of acidizing diet. ,Arm 2,The subjects perform two 60-seconds sprint-tests within two weeks under normobaric hypoxic conditions at a simulated altitude of 3000 m. In a crossover design subjects perform sprinting either after three days of alkalizing diet or three days of acidizing diet. ,,,Primary Sponsor,"Ruhr-Universität Bochum, Institut für Sportwissenschaft, Lehrstuhl für Sportmedizin und Sporternährung",Petra,Platen,Contact for Scientific Queries,"Deutsche Sporthochschule Köln, Institut für Natursport und Ökologie",Mirjam,Limmer,20,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
306,18,DRKS00009552,HK,Bochum Witten-Herdecke,Bochum,Bochum,2,10.1186/s12903-016-0264-2,https://link.springer.com/article/10.1186/s12903-016-0264-2#article-info,yes,02.08.2016,no,,,Changes of the salivary cortisol  in patients with dental phobia before and after psychotheapeutic treatment.,2015-10-22,2011/12/01,Actual,2015/08/31,Arm 1,"Forty patients will participate in this study and will belong to two different groups. All patients will receive written information and sign informed consent to participate in the study. Group 1 consists of 20 patients with dental phobia and group 2 consists of patients without dental phobia. Dental phobia is diagnosed using the validated standardized dental anxiety scale (DAS).<br/>Saliva is collected for 5 minutes at three time intervals (T0-T2). The first collection is immediately after entering the dental office (T0) which is followed by a 10 minute dental investigation. Immediately after the dental investigation the second saliva collection (T1) follows. Then, the dental phobic patients undergo a three week the psychotherapeutic treatment. Psychotherapy comprises 1 hour per week. In the first session the triggering stress factors are explored and strategies for stress coping developed. During the second session stress coping is trained and relaxation exercises are started. In the third session actively dental treatment is discussed using a video demonstrating a dental treatment. Also first signs of recidivism are explored and how the patents con overcome them. After psychotherapeutic treatment a dental treatment follows with a third saliva collection (T2) after the treatment.<br/>",Arm 2,Group 2 consists of 20 patients with no dental phobia. This control group follows the same scheme as the dental phobic patients but without psychotherapy.,,,Primary Sponsor,Universität Witten/Herdecke,[---]*,[---]*,Contact for Scientific Queries,Universität Witten/HerdeckeLehrstuhl für biologische und materialkundliche Grundlagen der Zahnmedizin,Wolfgang H.,Arnold,40,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,Naumova et al. BMC Oral Health (2017) 17:32 DOI 10.1186/s12903-016-0264-2,,,,,,,,,,,,
216,19,DRKS00005076,HK,Bonn,Bonn,Bonn,1,10.1017/S0007114517000241 ,https://pubmed.ncbi.nlm.nih.gov/28366181/,yes,03.04.2017,no,,,Human intervention study to examine interactions between alpha-linolenic acid and quercetin,2013-08-01,2013/05/06,Actual,2015/12/01,Arm 1,"alpha-Linolenic acid (3 g/d; ingestion from rapeseed oil) and placebo (from hart gelatine capsules, 0 mg quercetin); duration: 8 weeks; 8-week wash-out period between both supplementation periods",Arm 2,"alpha-Linolenic acid (3 g/d; ingestion from rapeseed oil) and quercetin (from hart gelatine capsules, 150 mg/d); duration: 8 weeks; 8-week wash-out period between both supplementation periods",,,Primary Sponsor,Universität Bonn <br/>IEL Ernährungsphysiologie,Sarah,Egert,Contact for Scientific Queries,Universität Bonn<br/>IEL Ernährungsphysiologie,Sarah,Egert,74,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Burak C, Wolffram S, Zur B, Langguth P, Fimmers R, Alteheld B, Stehle P, Egert S: Effect of alpha-linolenic acid supplementation in combination with quercetin and conversion to n-3 long-chain polyunsaturated fatty acids in humans: a randomized double-blinded placebo-controlled crossover trial. British Journal of Nutrition 2017 Mar;117(5):698-711",,,,,,,,,,,,
217,20,DRKS00005595,HK,Bonn,Bonn,Bonn,1,10.1055/s-0035-1548858 ,https://pubmed.ncbi.nlm.nih.gov/25918931/,yes,28.04.2015,no,,,Improvement of diabetes screening in general practice via selection of at-risk patients from medical assistences by the exampla of the FINDRISK-test.,2014-01-15,2013/11/18,Actual,2015/04/15,Arm 1,Patients in a general practice with a positive family history of diabetes and/or obesity were selected by the physician assistent. These patients at the age of 20 to 50 years were asked to fill out the FINDRIC-form with assistence if needed.  ,Arm 2,Patients in a general practice without detected diabetes mellitus at the age of 20 to 50 years were recruited. A representative group of patients was asked to fill out the FINDRISC-form with assistence if needed.,,,Primary Sponsor,Universitätsklinikum Bonn,Michael,Rothe,Contact for Scientific Queries,Universitätsklinikum Bonn,Rieke,Schnakenberg,900,"Recruiting complete, follow-up complete",yes,Multicenter trial,Paper,[---]*,"R. Schnakenberg, M. Rothe, M. Bleckwenn. Early Selection of At-risk Patients for Type 2 Diabetes in the GP Surgery by  Medical Assistants – A Feasibility Study. Gesundheitswesen. 2015 Apr 28. [Epub ahead of print] ",,,,,,,,,,,,
66,21,DRKS00008755,HK,Bonn,Bonn,Bonn,0,,,no,,no,,,Influence of moderate physical activity and partial sleep restriction on resting energy expenditure in metabolically healthy men and women,2016-07-05,2014/09/22,Actual,2014/12/11,Arm 1,Day 1: Baselinemeasurements under control conditions (without physical activity) + Intervention 1 on 2nd day: physical activity (10 minutes of moderate activity) followed by outcome measurements.,Arm 2,"Day 1: Baselinemeasurements under control conditions (7-9h sleep/night) + Intervention 2 after 2nd day: cumulative, partial sleep restriction (5h/night for 3 consecutive nights) followed by outcome measurements.",,,Primary Sponsor,Universität Bonn<br/>IEL Ernährungsphysiologie,[---]*,[---]*,Contact for Scientific Queries,Universität Bonn<br/>IEL Ernährungsphysiologie,Sarah,Egert,10,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
307,22,DRKS00009614,HK,Bonn,Bonn,Bonn,2,10.1002/ejp.1089,https://onlinelibrary.wiley.com/doi/full/10.1002/ejp.1089,yes,14.08.2017,no,,,Long and short term effects of Matrixstimulation in cancer pain.,2016-06-27,2014/01/03,Actual,2015/05/31,Arm 1,"Patient with cancer pain, Matrixstimulation, 4 Hz, 5 Minutes, Stimulation twice a day (morning and evening) on three consecutive days (day 1-3).",,,,,Primary Sponsor,Universitätsklinikum Bonn,[---]*,[---]*,Contact for Scientific Queries,Klinik und Poliklinik für PalliativmedizinUniversitätsklinikum Bonn,Martin,Mücke,20,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
