nct_id;cities_lead;brief_title;official_title;study_first_submitted_date;start_date;start_date_type;completion_date;completion_date_type;PI_name;PI_affiliation;interventions;overall_status;phase;enrollment;enrollment_type;were_results_reported
NCT03666338;Munich;Influence of the Initial Level of Consciousness on Early, Goal-directed Mobilization;Influence of the Initial Level of Consciousness on Early, Goal-directed Mobilization;2018-09-05;2011-07-11;Actual;2016-02-04;Actual;;;Early, goal-directed mobilization;Completed;N/A;200;Actual;FALSE
NCT03663491;Leipzig;Necessity of Transnasal Gastroscopy in Routine Diagnostics - a Patient Centered Requirement Analysis;Necessity of Transnasal Gastroscopy in Routine Diagnostics - a Patient Centered Requirement Analysis;2018-06-21;2016-09-01;Actual;2017-03-31;Actual;Albrecht Hoffmeister, Prof Dr;University of Leipzig;Nasal Gastroscopy | Oral Gastroscopy, unsedated | Oral Gastroscopy, sedated | Oral Gastroscopy with transnasal endoscope, sedated;Completed;N/A;283;Actual;FALSE
NCT03657953;Dresden;Outcomes 8 Years After Minimal Invasive THA;Patient-relevant Outcomes 8 Years After Minimally Invasive Total Hip Replacement - a Randomized Prospective Study;2018-08-14;2006-01-01;Actual;2015-09-30;Actual;;;surgical approach;Completed;N/A;157;Actual;FALSE
NCT03587324;Bochum;Perioperative Aspirin Response in Patients Undergoing Vascular Surgery;Perioperative Risk Factors for the Development of Aspirin Low Response in Patients Undergoing Vascular Surgery.;2018-07-02;2013-02-28;Actual;2015-03-31;Actual;;;Whole blood aggregometry before and after vascular treatment (ASA/ Clopidogrel).;Completed;N/A;176;Actual;FALSE
NCT03584451;Dresden;Evaluation of the Effect of Rehabilitation Sport After Total Hip Arthroplasty (THA);Randomized, Clinical Survey for Evaluating the Effect of Rehabilitation Sport on Patients Who Underwent Total Hip Arthroplasty (THA);2018-06-04;2015-02-28;Actual;2017-12-31;Actual;;;rehabilitation sport;Completed;N/A;160;Actual;FALSE
NCT03567278;Leipzig;Feasibility Trial on ACURATE™ Transapical Implantation in Patients With Severe Symptomatic Aortic Stenosis (2009-01);Feasibility Trial on ACURATE™ Transapical Implantation in Patients With Severe Symptomatic Aortic Stenosis;2014-12-08;2009-11-30;;2015-09-30;Actual;Friedrich Mohr, Professor;Herzzentrum Leipzig GmbH;ACURATE TA™;Completed;N/A;40;Actual;FALSE
NCT03548974;Erlangen;Internet-based MOTOmed Exercise to Reduce Spasticity and Improve Physical Function in Persons With Multiple Sclerosis;Internet-based Physical Activity Promotion Using the MOTOmed Movement Trainer to Reduce Spasticity and Improve Physical Function in Moderately to Severely Affected Persons With Multiple Sclerosis;2017-11-02;2015-01-31;;2015-10-31;Actual;;;Treatment group 1 | Treatment group 2;Completed;N/A;57;Actual;FALSE
NCT03531216;Tübingen;Topical Rosemary Oil Application in Systemic Sclerosis;Psychophysiological Effect of Local Rosemary and Olive Oil Application Onto the Hands of Patients With Systemic Sclerosis - a Prospective Crossover, Open-label, Nonrandomized Trial;2018-05-09;2015-11-02;Actual;2016-03-21;Actual;Jan Vagedes, Dr.;"ARCIM Institute; University of Tuebingen";Rosemary essential oil | Placebo;Completed;N/A;12;Actual;FALSE
NCT03530839;Tübingen;Lesser Toe PIP Joint Arthrodesis Versus Resection Arthroplasty;Lesser Toe PIP Joint Arthrodesis Versus Resection Arthroplasty: A Randomized Controlled Study;2018-04-25;2015-01-31;Actual;2017-05-31;Actual;;;Arthrodesis | Resection arthroplasty;Completed;N/A;37;Actual;FALSE
NCT03524755;Munich;Physical Exercise for Patients Who Suffer From Weight Loss Due to Head and Neck Cancer Undergoing Medical Treatment;Effects of a Progressive Resistance Training in Cachectic Cancer Patients During Radiotherapy - a Randomized Controlled Pilot Trial;2018-04-29;2013-07-10;Actual;2015-05-07;Actual;Claus Belka, Prof. Dr.;Klinikum der Universität München, Klinik und Poliklinik für Strahlentherapie und Radioonkologie;Exercise;Completed;N/A;20;Actual;FALSE
NCT03519698;Tübingen;Footbaths With Ginger, Mustard & Warm Water Only in Female Adolescents With & Without Anorexia Nervosa;Efficacy of Footbaths With Ginger, Mustard & Warm Water Only on Psychophysiological Parameters in Female Adolescents With & Without Anorexia Nervosa - a Randomized, Controlled, Three-arm Study With Cross-over Design;2018-01-12;2015-12-15;Actual;2017-06-22;Actual;Jan Vagedes, Dr.;"ARCIM Institute; University of Tuebingen";Warm water | Mustard | Ginger;Completed;N/A;41;Actual;FALSE
NCT03505775;Würzburg;Evaluation of the Muscular and Cutaneous Sodium Storage by 23Na MRI in Patients With Chronic Adrenal Insufficiency;Evaluation of the Muscular and Cutaneous Sodium Storage by 23Na Magnetic Resonance Imaging in Patients With Chronic Adrenal Insufficiency Compared to Healthy Subjects;2018-04-12;2017-02-14;Actual;2017-10-31;Actual;Stefanie Hahner, MD, Prof.;University Hospital Wuerzburg, Dept. of medicine I, Germany;23Na magnetic resonance imaging;Completed;N/A;32;Actual;FALSE
NCT03485716;Charite;Metabolic Dynamics During Physical Activity;Metabolic Dynamics During Physical Activity Under Normobaric Normoxia or Moderate Hypoxia - a Pilot Study;2018-03-19;2016-08-01;Actual;2017-12-31;Actual;Michael Boschmann, Dr.;Charite University, Berlin, Germany;running on a treadmill under normoxia or hypoxia;Completed;N/A;34;Actual;FALSE
NCT03467087;Homburg;Safety and Feasibility of Electrical Muscle Stimulation During Stem Cell Transplantation or Intensive Chemotherapy;Safety and Feasibility of Electrical Muscle Stimulation in Patients Undergoing Autologous and Allogeneic Stem Cell Transplantation or Chemotherapy Requiring Hospitalization;2018-02-27;2016-02-03;Actual;2017-03-16;Actual;Moritz Bewarder, M.D.;University Hospital, Saarland;Myopuls 2000D;Completed;N/A;45;Actual;FALSE
NCT03425929;Bonn;Oxytocin, Trauma Disclosure and Intrusions;Effects of a Prolonged Oxytocin Treatment on Intrusions and Amygdala Reactivity in an Analogue Trauma Model;2018-01-28;2016-06-01;Actual;2017-03-18;Actual;René Hurlemann, MD, PhD;University of Bonn;Oxytocin | Placebo;Completed;Phase 1;70;Actual;FALSE
NCT03423576;Ulm Würzburg;Effects of a Comprehensive Patient-centered Health Service in Cystic Fibrosis (VEMSE-CF);Effects of a Comprehensive Patient-centered Health Service With a Focus on Psychosocial Services for Patients With Rare Diseases Using Cystic Fibrosis as an Example (Evaluation Eines Ganzheitlichen Patientenzentrierten Versorgungsmodells für Patienten Mit Seltenen Erkrankungen Unter Besonderer Berücksichtigung Der Psychosozialen Versorgung am Beispiel Mukoviszidose);2018-01-23;2011-08-01;Actual;2016-12-31;Actual;Lutz Goldbeck, Prof. Dr.;Ulm University Hospital;comprehensive patient-centered outpatient health service with multiple components;Completed;N/A;318;Actual;FALSE
NCT03404232;Aachen;Radiological and Clinical Efficacy of a Hybrid Spinal Implant (Topping Off): a Mono-center, Prospective Clinical Trial;The Use of the DTO Hybrid Dynamic Device: a Clinical Outcome- and Radiological-based Prospective Clinical Trial;2018-01-05;2012-01-01;Actual;2017-12-31;Actual;;;Dynesys DTO device (Zimmer Spine, Inc.);Completed;N/A;60;Actual;FALSE
NCT03402490;Göttingen;Enhancement of Physical Activity in Elderly Patients With Diastolic Heart Failure by a Motivational Intervention;Enhancement of Physical Activity in Elderly Patients With Diastolic Heart Failure by a Motivational Intervention - Pilot Data From an add-on Following the Ex-DHF Trial;2017-12-22;2013-06-18;Actual;2015-12-08;Actual;;;Motivational interviewing;Completed;N/A;39;Actual;FALSE
NCT03378804;Marburg;PIEB-PCEA vs CEI-PCEA for Abdominal Oncological Surgery. A Randomized Prospective Clinical Trial;Randomized Comparison of Two Application Procedures: Programmed Intermittent Epidural Bolus in Patient-controlled Epidural Analgesia (PCEA) Versus Continous PCEA in Abdominal Oncological Surgery;2017-10-06;2017-01-31;;2017-11-02;Actual;;;Programmed intermittent epidural bolus application (PIEB) | Continous epidural analgesia;Completed;N/A;110;Actual;FALSE
NCT03358550;Jena;Night Myopia and Dark Focus of Accommodation;Influence of an Imaginary Target on the State of Accommodation Under Scotopic Conditions;2017-11-26;2017-02-02;Actual;2017-03-23;Actual;Philipp Hessler, M.Sc.;University of Applied Sciences Jena;Accommodation Measurement;Completed;N/A;39;Actual;FALSE
NCT03341741;Tübingen;Combined Dry Powder Tobramycin and Nebulized Colistin Inhalation in CF Patients;Combined Dry Powder Tobramycin and Nebulized Colistin Inhalation in CF Patients;2017-11-03;2014-03-11;Actual;2016-11-25;Actual;;;Tobramycin Powder | Colistin;Completed;Phase 3;26;Actual;FALSE
NCT03332914;Munich;A Crossover Designed Study to Evaluate Effects of Microcurrent Therapy on Knee Osteoarthritis;A Crossover Designed Study to Evaluate Effects of Microcurrent Therapy on Knee Osteoarthritis;2017-11-02;2017-11-02;Actual;2017-12-27;Actual;;;Microcurrent therapy;Completed;N/A;13;Actual;FALSE
NCT03332446;Homburg;Influence of Cooling on the Effect of Strength Training;Influence of Cooling on the Effect of Strength Training;2016-03-29;2014-08-31;;2017-07-31;Actual;Tim Meyer, Prof.;Saarland University;cold water immersion;Completed;N/A;11;Actual;FALSE
NCT03331159;Frankfurt;Evaluation of Fusion After ALIF With an Osteoinductive Material or With Homologus Bone;Evaluation of Fusion After Anterior Lumbar Interbody Fusion With a New Osteoinductive Bone Substitute Material: a First Randomized Clinical Trial;2017-10-29;2012-07-01;Actual;2015-10-31;Actual;;;NanoBone | Homologous Bone;Completed;N/A;20;Actual;FALSE
NCT03330431;Marburg;Do Videos That Aim to Optimize Expectations Alter the Effectivess of PMR?;Effects of Videos Aiming to Optimize Expectations on Effectiveness of Progressive Muscle Relaxation (PMR);2017-09-27;2017-07-01;Actual;2017-11-15;Anticipated;Winfried Rief, Professor;Philipps Universität Marburg;Progressive Muscle Relaxation (PMR);Unknown status;N/A;66;Actual;FALSE
NCT03323528;Münster;Safety and Efficacy of a Sore Throat Lozenge DORITHRICIN in Patients With Acute Pharyngitis;A Multi-centre, Randomized, Placebo-controlled, Double-blind, Parallel-group Study Investigating Safety and Efficacy of a Sore Throat Lozenge in the Symptomatic Treatment of Patients With Acute Pharyngitis;2017-10-24;2017-02-01;Actual;2017-11-15;Actual;R Ammer, MD, PhD;Universtiy hospital Muenster, MedD;Benzalkonium Chloride-Benzocaine Topical | Placebo Oral Tablet;Completed;Phase 4;321;Actual;FALSE
NCT03312816;Charite;Effect of Oxidized Plant Sterols on Serum Concentrations of Plant Sterol Oxidation Products (POP);The Effect of Oxidized Plant Sterol Intake on Serum Concentrations of Plant Sterol Oxidation Products (POP);2017-10-12;2017-10-16;Actual;2017-12-08;Actual;Christian Keicher, Dr;Charité Research Organisation GmbH;cookies enriched with POP;Completed;N/A;60;Actual;FALSE
NCT03312140;Tübingen;Examination of the Lipid Metabolism of the Liver After Choline Substitution in Cystic Fibrosis;Examination of the Lipid Metabolism of the Liver After Choline Substitution in Cystic Fibrosis;2017-10-04;2014-11-06;Actual;2017-02-08;Actual;Joachim Riethmüller, PD;Klinik für Kinder- und Jugendmedizin Tübingen;Choline Chloride;Completed;N/A;10;Actual;FALSE
NCT03299127;Hamburg;Imagery Rescripting in Depression;A Self-help Manual of Imagery Rescripting Reduces Depressive Symptoms;2017-09-27;2017-04-01;Actual;2017-12-15;Actual;Steffen Moritz, PhD;UKE Hamburg;imagery rescripting;Completed;N/A;127;Actual;FALSE
NCT03281616;Charite;Lifestyle in Turkish-Background Diabetics;Lifestyle Interventions in Turkish-background Patients With Metabolic Syndrome and Diabetes in Germany;2017-09-11;2014-06-01;Actual;2015-09-30;Actual;;;Diet;Completed;N/A;110;Actual;FALSE
NCT03272490;Munich;Polyaxial Locking Plates in Treating Distal Humeral Fractures;Polyaxial Locking Plates in Treating Distal Humeral Fractures: a Comparative Randomized Trial for Clinical Outcome;2017-08-31;2014-02-05;Actual;2017-07-01;Actual;Peter Bibethaler, Prof.;Department of Trauma Surgery Klinikum rechts der Isar Technical University of Munich, Germany Ismaninger Strasse 22 81675 Munich, Germany;Medartis | Synthes;Completed;N/A;20;Actual;FALSE
NCT03268720;Erlangen;Influence of the Immunosystem in Non-celiac Glutensensitivity;Influence of the Immunosystem in Non-celiac Glutensensitivity;2017-08-15;2014-04-30;Actual;2016-12-31;Actual;;;FODMAP low diet | gluten-free diet;Completed;N/A;29;Actual;FALSE
NCT03265899;Bonn;Oxytocin and the Processing of Social Stress-Associated Chemosignals;Double-blind, Placebo-controlled, Randomized Study: Oxytocin Modulation of Stress-Associated Chemosignals Processing;2017-08-18;2015-07-01;Actual;2016-11-30;Actual;Rene Hurlemann, MSc MD PhD;Department of Psychiatry, University of Bonn, Germany;Oxytocin | Placebo;Completed;Phase 1;60;Actual;FALSE
NCT03252730;Hamburg;In-Use Test With a Cosmetic Product;In-Use Test With a Cosmetic Product (WO 4260) for Topical Use on the Scalp;2017-07-18;2017-01-30;Actual;2017-02-27;Actual;Mona Mazinani, MD;SIT Skin Investigation and Technology Hamburg GmbH;WO 4260 Cosmetic Product for Topical Use;Completed;N/A;34;Actual;FALSE
NCT03231839;Tübingen;Nutritional Prevention of Diabetes Mellitus Type 2;Identification of Factors Predicting the Success of a Nutritional Intervention to Decrease the Risk of Type 2 Diabetes;2017-07-24;2009-02-01;Actual;2016-07-31;Actual;;;Caloric restriction | no red meat | Increased fiber intake;Completed;N/A;132;Actual;FALSE
NCT03230422;Mainz;A Comparison of Video Laryngoscopes and the Direct Laryngoscope in Simulated Normal and Difficult Infant Airway.;A Comparison of the Novel King Vision Pediatric aBlade and the C-MAC Video Laryngoscope to the Direct Laryngoscope in Simulated Normal and Difficult Infant Airway. A Bicentric, Prospective, Randomized Manikin Study;2017-07-23;2017-07-24;Actual;2017-09-27;Actual;Marc Kriege, MD;University Medical Centre Mainz;normal airway | difficult airway;Completed;N/A;80;Actual;FALSE
NCT03226587;Düsseldorf;Acute Effects of Whole Body Blue Light Exposure on Blood Pressure;Acute Effects of Whole Body Blue Light Exposure on Blood Pressure, Endothelial Function and Vascular Stiffness;2017-06-22;2016-08-31;Actual;2017-08-31;Actual;Christian Heiß, MD;Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Dusseldorf;Blue light | control exposure;Completed;N/A;20;Actual;FALSE
NCT03206398;Leipzig;Influence of an Anti-gravity Treadmill on Functional Outcome in Non-operatively Treated Pelvic Fractures - a Pilot Study;Influence of an Anti-gravity Treadmill on Functional Outcome in Non-operatively Treated Pelvic Fractures - a Pilot Study;2017-06-30;2015-05-01;Actual;2016-02-01;Actual;;;anti-gravity treadmill;Completed;N/A;9;Actual;FALSE
NCT03184285;Schleswig-Holstein;Continuous Non-invasive Assessment of Blood Pressure in Bariatric Surgery;Continuous Non-invasive Assessment of Blood Pressure in Comparison to the Invasive Gold-standard and to the Sphygmomanometer.;2017-06-03;2015-06-01;Actual;2017-06-01;Actual;;;baseline alert 1 | Anti-Trendelenburg-position (ATB) | ATB in narcosis | baseline in narcosis 1 | passive leg raising | volume bolus substitution | baseline in narcosis 2 | start capnoperitoneum | ATB plus capnoperitoneum | ATB plus capnoperitoneum plus volume bolus substitution | ATB loss of capnoperitoneum | baseline | baseline alert 2 | torso position rising 30° at the beginning | torso position rising 30° at the end;Completed;N/A;50;Actual;FALSE
NCT03184272;Schleswig-Holstein;Non-invasive Assessment of Cardiac Output and Fluid Responsiveness in Bariatric Surgery;Accuracy of Non-invasive Assessment of Cardiac Output and Fluid Responsiveness in Patients Undergoing Bariatric Procedures.;2017-06-03;2015-06-01;Actual;2017-06-01;Actual;;;baseline alert 1 | Anti-Trendelenburg-position (ATB) | ATB in narcosis | baseline in narcosis 1 | passive leg raising | volume bolus substitution | baseline in narcosis 2 | start capnoperitoneum | ATB plus capnoperitoneum | ATB plus capnoperitoneum plus volume bolus substitution | ATB loss of capnoperitoneum | baseline | baseline alert 2 | torso position rising 30° at the beginning | torso position rising 30° at the end;Completed;N/A;50;Actual;FALSE
NCT03157622;Marburg;Single-Case Study on Therapeutic Change in Chronic Low Back Pain;Comparing Therapeutic Change During Exposure and Cognitive-Behavioral Therapy in the Context Chronic Low Back Pain;2015-11-10;2015-06-30;Actual;2017-06-30;Actual;Julia Anna Glombiewski;Philipps-University Marburg, Departement of Clinical PSychology and Psychotherapy;Exposure in vivo | Cognitive Behavioural Psychotherapy;Completed;N/A;12;Actual;FALSE
NCT03147131;Ulm;Periprosthetic Bone Mineral Density Changes After Implantation Of A Short Hip Stem Compared To A Straight Stem;Periprosthetic Bone Mineral Density Changes After Implantation Of A Short Hip Stem Compared To A Straight Stem: Five-Year Results Of A Prospective, Randomized DEXA-Analysis;2016-12-19;2010-08-01;Actual;2017-07-31;Anticipated;Ralf Bieger, PD Dr.;University Hospital Ulm - Department of Orthopedic Surgery;Total Hip Arthroplasty;Unknown status;N/A;126;Anticipated;FALSE
NCT03146832;Marburg;Therapeutic Strategies During Exposure to Pain in an Experimental Design;Exposure Works, But How? Testing Different Therapeutic Strategies During Exposure to Pain in an Experimental Design;2017-04-18;2017-04-01;Actual;2017-06-15;Actual;;;Exposure therapy (according to habituation approach) | Exposure therapy (according to inhibitory learning approach);Completed;N/A;139;Actual;FALSE
NCT03141697;Leipzig;The Use of CO2 in Routine-Colonoscopy;Is CO2 Insufflation an Amelioration of Routine Colonoscopy?;2017-04-26;2012-04-01;Actual;2014-08-31;Actual;;;Carbon Dioxide | Room air;Completed;N/A;150;Actual;FALSE
NCT03141476;Hamburg;Adequacy of Perioperative Cefuroxime Dosage According to the BMI;Perioperative Cefuroxime in Obese Patients: Dosage According to the BMI;2017-03-21;2017-03-01;Actual;2017-12-12;Actual;;;Cefuroxime 1,5g | Cefuroxime 3g | Cefuroxime 4,5g;Completed;Phase 4;60;Actual;FALSE
NCT03140397;Tübingen;Oral Bioavailability and Bioactivity of Prenylflavonoids From Hops;Examination of the Bioavailability and Bioactivity of the Two Natural Food Ingredients 6-Prenylnaringenin and 8-Prenylnaringenin.;2017-05-02;2016-01-31;;2017-12-31;Actual;Sascha Venturelli, Dr. med. Dr. rer. nat.;Eberhard Karls University Tuebingen;Placebo | 6-prenylnaringenin | 8-prenylnaringenin;Completed;Early Phase 1;16;Actual;FALSE
NCT03134144;Tübingen;Chairless Chair Exoskeleton. Work-physiological-biomechanical Analysis of the Lower Extremities;Chairless Chair Exoskeleton. Work-physiological-biomechanical Analysis of the Lower Extremities;2017-04-25;2017-05-01;Actual;2017-10-15;Actual;;;Exoskeleton Chairless Chair;Completed;N/A;42;Actual;FALSE
NCT03120156;Munich;Effects of Sensomotoric Insoles on Postural Control in Elderly People;Effects of Sensomotoric Insoles on Postural Control in Elderly People - a Prospective Randomized Controlled Trial;2017-03-30;2017-07-01;Actual;2017-10-27;Actual;;;sensomotoric insoles | normal standard insoles | No insoles;Completed;N/A;17;Actual;FALSE
NCT03118791;Düsseldorf;Dose-Dependent Effects of Anthocyanins on Endothelial Function in Healthy Men;Investigation on Acute Dose-Dependent Effects of Anthocyanins on Endothelial Function;2017-04-07;2017-04-07;Actual;2017-10-31;Actual;;;anthocyanins;Completed;N/A;10;Actual;FALSE
NCT03117088;Aachen;Safe-SCOPE Pilot Study;Safe-SCOPE Pilot Study: Standardized Checklist Of Patient Information Exchange;2017-03-14;2017-06-01;Actual;2017-11-30;Actual;Gernot Marx, Prof.;Uniklinik RWTH Aachen;Checklist ISBAR3 | Checklist VICUR;Completed;N/A;7;Actual;FALSE
NCT03114306;Charite;Evaluation of a Fast-track Knee Arthroplasty Concept;Implementation of a Fast-track Knee Arthroplasty Concept: a Randomized, Controlled, Open Clinical Trial;2017-03-27;2017-04-05;Actual;2017-08-30;Actual;Sascha Treskatsch, Prof.;Charite University Berlin, Department of anaesthesia;local infiltration analgesia | regional-anaesthesiological catheter analgesia;Completed;N/A;40;Actual;FALSE
NCT03114293;Hamburg;Evidence Based Patient Information and Smartphone Accelerometry to Enhance Physical Activity in MS;Evidence Based Patient Information and Smartphone Accelerometry to Enhance Physical Activity in MS;2017-03-31;2016-04-01;Actual;2017-05-30;Anticipated;;;Smartphone App;Unknown status;N/A;40;Actual;FALSE
NCT03105024;Bochum;Self-efficacy Enhancement and Exposure Therapy;Enhancing Exposure: the Impact of Self-efficacy Enhancement on Treatment Outcome;2017-03-27;2017-03-22;Actual;2017-11-29;Actual;Armin Zlomuzica, Dr.;Ruhr-University Bochum;Self-efficacy enhancement | Control intervention;Completed;N/A;71;Actual;FALSE
NCT03098498;Würzburg;Impact of Debridement Invasiveness on Attachment Gain After Antiinfective Periodontal Therapy;Impact of Debridement Invasiveness on Attachment Gain After Antiinfective Periodontal Therapy;2017-03-27;2016-06-01;Actual;2017-12-01;Anticipated;Ulrich Schlagenhauf, Prof. Dr.;Chairman Dept. of Periodontology, University Hospital Wuerzburg, Germany;Subgingival Debridement;Unknown status;N/A;44;Anticipated;FALSE
NCT03093584;Greifswald;Auricular Stimulation vs. Expressive Writing for Exam Anxiety;Auricular Acupuncture (AA) vs. Expressive Writing in Treatment of Pre-exam Anxiety - Randomised Crossover Study in Medical Students;2017-03-23;2014-04-30;Actual;2014-07-31;Actual;Taras Usichenko, MD. PhD;University Medicine of Greifswald;Auricular acupuncture | Expressive writing;Completed;N/A;37;Actual;FALSE
NCT03093571;Greifswald;Auricular Stimulation vs. Relaxation for Pre-exam Anxiety;Auricular Acupuncture vs. Progressive Muscle Relaxation in Treatment of Pre-exam Anxiety - Randomised Crossover Study in Medical Students;2017-03-23;2015-04-30;Actual;2015-07-31;Actual;Catharina Klausenitz, MD. PhD;University Medicine of Greifswald;Auricular stimulation | Relaxation;Completed;N/A;47;Actual;FALSE
NCT03092388;Bochum;Leg Fluid Shift in Patients With Chronic Heart Failure and Obstructive or Central Sleep Apnea;Evaluation Eines Leg Fluid Shift Und Erörterung Der hämodynamischen Und Respiratorischen Auswirkungen Auf Patienten Mit Chronischer Herzinsuffizienz Und Obstruktiver Oder Zentraler Schlafapnoe;2017-03-21;2015-02-28;;2016-04-30;Actual;Thomas Bitter, MD;Herz- und Diabeteszentrum NRW, Ruhr-Universitaet Bochum, Bad Oeynhausen, Germany;Multi Frequency Bioimpedance Analysis (mfBIA) | Polysomnography/Polygraphy (PSG/PG) | Capillary Blood Gas Analysis (CBGA) | Tilting Table with Hemodynamic Monitoring;Completed;N/A;40;Actual;FALSE
NCT03092206;Munich;Changes in Insulin Sensitivity in Healthy Volunteers Taking Tenofovir Alafenamide (TAF)-Containing Antiretroviral Medication;Changes in Insulin Sensitivity in Healthy Volunteers Taking Tenofovir Alafenamide (TAF)-Containing Antiretroviral Medication: The TAF-IR Study;2017-03-21;2017-04-18;Actual;2017-07-28;Actual;;;F/TAF | E/C/F/TAF | R/F/TAF;Completed;Phase 1;30;Actual;FALSE
