nct_id;nlm_download_date_description;study_first_submitted_date;results_first_submitted_date;disposition_first_submitted_date;last_update_submitted_date;study_first_submitted_qc_date;study_first_posted_date;study_first_posted_date_type;results_first_submitted_qc_date;results_first_posted_date;results_first_posted_date_type;disposition_first_submitted_qc_date;disposition_first_posted_date;disposition_first_posted_date_type;last_update_submitted_qc_date;last_update_posted_date;last_update_posted_date_type;start_month_year;start_date_type;start_date;verification_month_year;verification_date;completion_month_year;completion_date_type;completion_date;primary_completion_month_year;primary_completion_date_type;primary_completion_date;target_duration;study_type;acronym;baseline_population;brief_title;official_title;overall_status;last_known_status;phase;enrollment;enrollment_type;source;limitations_and_caveats;number_of_arms;number_of_groups;why_stopped;has_expanded_access;expanded_access_type_individual;expanded_access_type_intermediate;expanded_access_type_treatment;has_dmc;is_fda_regulated_drug;is_fda_regulated_device;is_unapproved_device;is_ppsd;is_us_export;biospec_retention;biospec_description;ipd_time_frame;ipd_access_criteria;ipd_url;plan_to_share_ipd;plan_to_share_ipd_description;created_at;updated_at;cities_lead;id.x;role;name;affiliation;intervention_names_comb;id.y;number_of_facilities;number_of_nsae_subjects;number_of_sae_subjects;registered_in_calendar_year;nlm_download_date;actual_duration;were_results_reported;months_to_report_results;has_us_facility;has_single_facility;minimum_age_num;maximum_age_num;minimum_age_unit;maximum_age_unit;number_of_primary_outcomes_to_measure;number_of_secondary_outcomes_to_measure;number_of_other_outcomes_to_measure
NCT03789448;ClinicalTrials.gov processed this data on May 29, 2020;2018-12-16;;;2019-01-03;2018-12-25;2018-12-28;Actual;;;;;;;2019-01-03;2019-01-04;Actual;September 1, 2014;Actual;2014-09-01;January 2019;2019-01-31;August 31, 2017;Actual;2017-08-31;August 31, 2017;Actual;2017-08-31;;Interventional;;;Early Access to ART for All in Swaziland: Effects on Economic Outcomes;MaxART: The Effect of Early Access to ART for All in Swaziland on Economic Outcomes;Completed;;N/A;3019;Actual;University Hospital Heidelberg;;2;;;FALSE;;;;;FALSE;FALSE;;;;;;;;;;;2020-06-01T06:47:13Z;2020-06-01T06:47:13Z;Heidelberg;;;;;Early Access to ART for All;63493494;;;;2018;2020-05-29;36;FALSE;;;FALSE;18;;Years;;2;3;
NCT03753841;ClinicalTrials.gov processed this data on May 29, 2020;2018-11-16;;;2018-11-22;2018-11-22;2018-11-27;Actual;;;;;;;2018-11-22;2018-11-27;Actual;January 14, 2014;Actual;2014-01-14;November 2018;2018-11-30;September 16, 2016;Actual;2016-09-16;September 3, 2016;Actual;2016-09-03;;Interventional;;;FEES to Determine Neurological Intensive Care Patients' Oral Diet;Flexible Endoscopic Evaluation of Swallowing (FEES) to Determine Neurological Patients' Oral Diet;Completed;;N/A;125;Actual;University of Giessen;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;No;The authors declare that the data supporting the findings of this study will be available within the published article(s). The data that support the findings of this study will not be publically available due to local medical data protection policies.;2020-06-01T06:52:18Z;2020-06-01T06:52:18Z;Giessen;3462371;Principal Investigator;Tobias Braun, M.D.;University of Giessen;Adjustment of oral diet;63496231;1;;;2018;2020-05-29;32;FALSE;;FALSE;TRUE;;;;;2;2;
NCT03717493;ClinicalTrials.gov processed this data on May 29, 2020;2018-10-22;;;2018-10-25;2018-10-22;2018-10-24;Actual;;;;;;;2018-10-25;2018-10-29;Actual;December 17, 2012;Actual;2012-12-17;October 2018;2018-10-31;November 1, 2017;Actual;2017-11-01;May 1, 2017;Actual;2017-05-01;;Interventional;ER-BED;;Deficits in Emotion Regulation Skills as a Maintaining Factor in Binge Eating Disorder;Deficits in Emotion Regulation Skills as a Maintaining Factor in Binge Eating Disorder;Completed;;Phase 2/Phase 3;99;Actual;Friedrich-Alexander-Universität Erlange-Nürnberg;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;From October 2018 to October 2028;Credible reason for request;;Yes;Deidentified IPD will be made available upon request;2020-06-01T06:57:11Z;2020-06-01T06:57:11Z;Erlangen;;;;;Affect Regulation Training;63498991;;;;2018;2020-05-29;53;FALSE;;;FALSE;18;69;Years;Years;1;;
NCT03667638;ClinicalTrials.gov processed this data on May 29, 2020;2018-09-09;;;2018-09-11;2018-09-11;2018-09-12;Actual;;;;;;;2018-09-11;2018-09-12;Actual;November 2016;Actual;2016-11-30;September 2018;2018-09-30;December 2017;Actual;2017-12-31;November 2017;Actual;2017-11-30;;Interventional;;;Influence of Platelet Concentrates on Wound Healing;The Influence of Autologous Platelet Concentrates on Human Keratinocyte Proliferation in Vitro and Wound Healing in Vivo;Completed;;N/A;5;Actual;Hannover Medical School;;1;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;Undecided;;2020-06-01T07:05:41Z;2020-06-01T07:05:41Z;Hannover;3467955;Principal Investigator;Peter Vogt, MD;Medical School Hannover;Platelet-Rich Plasma;63502789;1;;;2018;2020-05-29;12;FALSE;;FALSE;TRUE;18;80;Years;Years;1;3;
NCT03666338;ClinicalTrials.gov processed this data on May 29, 2020;2018-09-05;;;2018-09-11;2018-09-07;2018-09-11;Actual;;;;;;;2018-09-11;2018-09-13;Actual;July 11, 2011;Actual;2011-07-11;September 2018;2018-09-30;February 4, 2016;Actual;2016-02-04;November 4, 2015;Actual;2015-11-04;;Interventional;SOMS-GCS;;Influence of the Initial Level of Consciousness on Early, Goal-directed Mobilization;Influence of the Initial Level of Consciousness on Early, Goal-directed Mobilization;Completed;;N/A;200;Actual;Technische Universität München;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;Undecided;On reasonable request from researchers after an agreement has been found.;2020-06-01T07:05:51Z;2020-06-01T07:05:51Z;Munich;;;;;Early, goal-directed mobilization;63502886;;;;2018;2020-05-29;52;FALSE;;;FALSE;18;;Years;;1;3;
NCT03663491;ClinicalTrials.gov processed this data on May 29, 2020;2018-06-21;;;2019-05-20;2018-09-05;2018-09-10;Actual;;;;;;;2019-05-20;2019-05-22;Actual;September 1, 2016;Actual;2016-09-01;May 2018;2018-05-31;March 31, 2017;Actual;2017-03-31;March 31, 2017;Actual;2017-03-31;;Interventional;;;Necessity of Transnasal Gastroscopy in Routine Diagnostics - a Patient Centered Requirement Analysis;Necessity of Transnasal Gastroscopy in Routine Diagnostics - a Patient Centered Requirement Analysis;Completed;;N/A;283;Actual;University of Leipzig;;3;;;FALSE;;;;FALSE;FALSE;FALSE;;;FALSE;;;All data will be available to other researchers on request. (Mail to juergen.feisthammel@medizin.uni-leipzig.de);All data will be available to other researchers on request. (Mail to juergen.feisthammel@medizin.uni-leipzig.de);;Yes;All data will be available to other researchers on request. (Mail to juergen.feisthammel@medizin.uni-leipzig.de);2020-06-01T07:06:14Z;2020-06-01T07:06:14Z;Leipzig;3468220;Study Chair;Albrecht Hoffmeister, Prof Dr;University of Leipzig;Nasal Gastroscopy | Oral Gastroscopy, unsedated | Oral Gastroscopy, sedated | Oral Gastroscopy with transnasal endoscope, sedated;63503106;1;;;2018;2020-05-29;7;FALSE;;FALSE;TRUE;18;;Years;;1;2;
NCT03657953;ClinicalTrials.gov processed this data on May 29, 2020;2018-08-14;;;2018-09-03;2018-09-03;2018-09-05;Actual;;;;;;;2018-09-03;2018-09-05;Actual;January 1, 2006;Actual;2006-01-01;September 2018;2018-09-30;September 30, 2015;Actual;2015-09-30;June 30, 2015;Actual;2015-06-30;;Interventional;;;Outcomes 8 Years After Minimal Invasive THA;Patient-relevant Outcomes 8 Years After Minimally Invasive Total Hip Replacement - a Randomized Prospective Study;Completed;;N/A;157;Actual;Technische Universität Dresden;;3;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;No;;2020-06-01T07:07:03Z;2020-06-01T07:07:03Z;Dresden;;;;;surgical approach;63503528;1;;;2018;2020-05-29;115;FALSE;;FALSE;TRUE;18;75;Years;Years;1;8;
NCT03636139;ClinicalTrials.gov processed this data on May 29, 2020;2018-08-10;;;2018-08-16;2018-08-15;2018-08-17;Actual;;;;;;;2018-08-16;2018-08-20;Actual;January 2016;Actual;2016-01-31;August 2018;2018-08-31;June 2017;Actual;2017-06-30;June 2017;Actual;2017-06-30;;Interventional;;;Cognitive Control of Negative Stimuli in BPD;Effects of Transcranial Direct Current Stimulation on the Cognitive Control of Negative Stimuli in Borderline Personality Disorder;Completed;;N/A;100;Actual;Freie Universität Berlin;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;Undecided;;2020-06-01T07:10:45Z;2020-06-01T07:10:45Z;Berlin;;;;;transcranial DC stimulation : anodal | transcranial DC stimulation : sham;63505182;;;;2018;2020-05-29;17;FALSE;;;FALSE;18;;Years;;1;;
NCT03629665;ClinicalTrials.gov processed this data on May 29, 2020;2018-07-31;;;2018-08-12;2018-08-12;2018-08-14;Actual;;;;;;;2018-08-12;2018-08-14;Actual;January 2, 2012;Actual;2012-01-02;August 2018;2018-08-31;March 1, 2014;Actual;2014-03-01;March 1, 2014;Actual;2014-03-01;;Interventional;ILAT+rTMS;;Combining Language Therapy With rTMS in Aphasia;Combining Language Therapy With rTMS in Chronic Stage of Aphasia: A Randomized Controlled Trial;Completed;;N/A;17;Actual;University of Helsinki;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;No;;2020-06-01T07:11:44Z;2020-06-01T07:11:44Z;Berlin;3470454;Study Chair;Friedemann Pulvermüller, Professor;Brain Language Laboratory, Department of Philosophy and Humanities, WE4, Freie Universität Berlin;Intensive Language-Action Therapy (ILAT) | Repetitive navigated Transcranial Magnetic Stimulation during naming training;63505671;;;;2018;2020-05-29;26;FALSE;;;FALSE;18;75;Years;Years;1;2;
NCT03587324;ClinicalTrials.gov processed this data on May 29, 2020;2018-07-02;;;2018-07-16;2018-07-02;2018-07-16;Actual;;;;;;;2018-07-16;2018-07-18;Actual;February 2013;Actual;2013-02-28;July 2018;2018-07-31;March 2015;Actual;2015-03-31;March 2015;Actual;2015-03-31;;Interventional;;;Perioperative Aspirin Response in Patients Undergoing Vascular Surgery;Perioperative Risk Factors for the Development of Aspirin Low Response in Patients Undergoing Vascular Surgery.;Completed;;N/A;176;Actual;St. Josef Hospital Bochum;;1;;;FALSE;;;;;;;;;;;;;;;;;2020-06-01T07:18:12Z;2020-06-01T07:18:12Z;Bochum;;;;;Whole blood aggregometry before and after vascular treatment (ASA/ Clopidogrel).;63508891;1;;;2018;2020-05-29;25;FALSE;;FALSE;TRUE;18;80;Years;Years;1;;
NCT03584451;ClinicalTrials.gov processed this data on May 29, 2020;2018-06-04;;;2018-08-16;2018-07-11;2018-07-12;Actual;;;;;;;2018-08-16;2018-08-17;Actual;February 2015;Actual;2015-02-28;August 2018;2018-08-31;December 2017;Actual;2017-12-31;July 2017;Actual;2017-07-31;;Interventional;;;Evaluation of the Effect of Rehabilitation Sport After Total Hip Arthroplasty (THA);Randomized, Clinical Survey for Evaluating the Effect of Rehabilitation Sport on Patients Who Underwent Total Hip Arthroplasty (THA);Completed;;N/A;160;Actual;Technische Universität Dresden;;2;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;No;no plan to share IPD;2020-06-01T07:18:52Z;2020-06-01T07:18:52Z;Dresden;;;;;rehabilitation sport;63509115;;;;2018;2020-05-29;29;FALSE;;;FALSE;18;75;Years;Years;1;11;
NCT03567278;ClinicalTrials.gov processed this data on May 29, 2020;2014-12-08;;;2018-06-15;2018-06-15;2018-06-25;Actual;;;;;;;2018-06-15;2018-06-25;Actual;November 2009;;2009-11-30;May 2018;2018-05-31;September 2015;Actual;2015-09-30;September 2010;Actual;2010-09-30;;Interventional;TA-FIM;;Feasibility Trial on ACURATE™ Transapical Implantation in Patients With Severe Symptomatic Aortic Stenosis (2009-01);Feasibility Trial on ACURATE™ Transapical Implantation in Patients With Severe Symptomatic Aortic Stenosis;Completed;;N/A;40;Actual;Boston Scientific Corporation;;1;;;FALSE;;;;TRUE;;;;;;;;;;;No;;2020-06-01T07:21:33Z;2020-06-01T07:21:33Z;Leipzig;3474454;Principal Investigator;Friedrich Mohr, Professor;Herzzentrum Leipzig GmbH;ACURATE TA™;63510412;5;;;2014;2020-05-29;10;FALSE;;FALSE;FALSE;75;;Years;;1;5;
NCT03548974;ClinicalTrials.gov processed this data on May 29, 2020;2017-11-02;;;2018-05-24;2018-05-24;2018-06-07;Actual;;;;;;;2018-05-24;2018-06-07;Actual;January 2015;;2015-01-31;May 2018;2018-05-31;October 2015;Actual;2015-10-31;October 2015;Actual;2015-10-31;;Interventional;;;Internet-based MOTOmed Exercise to Reduce Spasticity and Improve Physical Function in Persons With Multiple Sclerosis;Internet-based Physical Activity Promotion Using the MOTOmed Movement Trainer to Reduce Spasticity and Improve Physical Function in Moderately to Severely Affected Persons With Multiple Sclerosis;Completed;;N/A;57;Actual;University of Erlangen-Nürnberg;;2;;;FALSE;;;;FALSE;;;;;;;;;;;Undecided;;2020-06-01T07:25:25Z;2020-06-01T07:25:25Z;Erlangen;;;;;Treatment group 1 | Treatment group 2;63511800;;;;2017;2020-05-29;9;FALSE;;;FALSE;18;;Years;;2;3;
NCT03531216;ClinicalTrials.gov processed this data on May 29, 2020;2018-05-09;;;2019-01-08;2018-05-09;2018-05-21;Actual;;;;;;;2019-01-08;2019-01-10;Actual;November 2, 2015;Actual;2015-11-02;May 2018;2018-05-31;March 21, 2016;Actual;2016-03-21;March 21, 2016;Actual;2016-03-21;;Interventional;;;Topical Rosemary Oil Application in Systemic Sclerosis;Psychophysiological Effect of Local Rosemary and Olive Oil Application Onto the Hands of Patients With Systemic Sclerosis - a Prospective Crossover, Open-label, Nonrandomized Trial;Completed;;N/A;12;Actual;ARCIM Institute Academic Research in Complementary and Integrative Medicine;;2;;;FALSE;;;;;FALSE;FALSE;;;;;;;;;;;2020-06-01T07:27:56Z;2020-06-01T07:27:56Z;Tübingen;3476787;Study Director;Jan Vagedes, Dr.;"ARCIM Institute; University of Tuebingen";Rosemary essential oil | Placebo;63513137;2;;;2018;2020-05-29;4;FALSE;;FALSE;FALSE;18;;Years;;1;5;
NCT03530839;ClinicalTrials.gov processed this data on May 29, 2020;2018-04-25;;;2018-05-08;2018-05-08;2018-05-21;Actual;;;;;;;2018-05-08;2018-05-21;Actual;January 2015;Actual;2015-01-31;May 2018;2018-05-31;May 2017;Actual;2017-05-31;May 2017;Actual;2017-05-31;;Interventional;;;Lesser Toe PIP Joint Arthrodesis Versus Resection Arthroplasty;Lesser Toe PIP Joint Arthrodesis Versus Resection Arthroplasty: A Randomized Controlled Study;Completed;;N/A;37;Actual;University Hospital Tuebingen;;2;;;FALSE;;;;;FALSE;FALSE;;;;;;;;;;;2020-06-01T07:27:59Z;2020-06-01T07:27:59Z;Tübingen;;;;;Arthrodesis | Resection arthroplasty;63513166;;;;2018;2020-05-29;28;FALSE;;;FALSE;30;75;Years;Years;2;1;
NCT03524755;ClinicalTrials.gov processed this data on May 29, 2020;2018-04-29;;;2018-05-12;2018-05-12;2018-05-15;Actual;;;;;;;2018-05-12;2018-05-15;Actual;July 10, 2013;Actual;2013-07-10;May 2018;2018-05-31;May 7, 2015;Actual;2015-05-07;May 7, 2015;Actual;2015-05-07;;Interventional;;;Physical Exercise for Patients Who Suffer From Weight Loss Due to Head and Neck Cancer Undergoing Medical Treatment;Effects of a Progressive Resistance Training in Cachectic Cancer Patients During Radiotherapy - a Randomized Controlled Pilot Trial;Completed;;N/A;20;Actual;Ludwig-Maximilians - University of Munich;;2;;;FALSE;;;;;FALSE;FALSE;;;;;;;;;No;My institution does not require data sharing and because of ethical concerns.;2020-06-01T07:29:09Z;2020-06-01T07:29:09Z;Munich;3477197;Principal Investigator;Claus Belka, Prof. Dr.;Klinikum der Universität München, Klinik und Poliklinik für Strahlentherapie und Radioonkologie;Exercise;63513627;;;;2018;2020-05-29;22;FALSE;;;FALSE;18;;Years;;1;1;
NCT03519698;ClinicalTrials.gov processed this data on May 29, 2020;2018-01-12;;;2018-05-08;2018-05-08;2018-05-09;Actual;;;;;;;2018-05-08;2018-05-09;Actual;December 15, 2015;Actual;2015-12-15;May 2018;2018-05-31;June 22, 2017;Actual;2017-06-22;June 22, 2017;Actual;2017-06-22;;Interventional;;;Footbaths With Ginger, Mustard & Warm Water Only in Female Adolescents With & Without Anorexia Nervosa;Efficacy of Footbaths With Ginger, Mustard & Warm Water Only on Psychophysiological Parameters in Female Adolescents With & Without Anorexia Nervosa - a Randomized, Controlled, Three-arm Study With Cross-over Design;Completed;;N/A;41;Actual;ARCIM Institute Academic Research in Complementary and Integrative Medicine;;3;;;FALSE;;;;FALSE;FALSE;FALSE;;;;;;;;;;;2020-06-01T07:30:00Z;2020-06-01T07:30:00Z;Tübingen;3477544;Study Director;Jan Vagedes, Dr.;"ARCIM Institute; University of Tuebingen";Warm water | Mustard | Ginger;63514006;1;;;2018;2020-05-29;18;FALSE;;FALSE;TRUE;12;18;Years;Years;1;13;
